problem_instance,family_id,backend,energy_or_eigenvalue,reference_value,relative_error
fe4s4-prefix-0055,,gpu,-326.5689554798622,-326.5689554798624,5.221875923014356e-16
n2-prefix-0100,n2,gpu,-108.9407606093665,-108.9407606093665,0.0
fe4s4-prefix-0055,,cpu,-326.5689554798622,-326.5689554798624,5.221875923014356e-16
h2o-prefix-0032,h2o,gpu,-76.07312514830399,-76.07312514830402,3.736103831017339e-16
h2o-prefix-0100,h2o,cpu,-76.14467787856537,-76.14467787856537,0.0
n2-prefix-0174,n2,cpu,-109.0075349193047,-109.0075349193047,0.0
fe4s4-prefix-0055,,cpu,-326.5689554798624,-326.5689554798624,0.0
h2o-prefix-0275,h2o,gpu,-76.23593762863834,-76.23593762863838,5.592187290104358e-16
fe4s4-prefix-0100,,cpu,-326.5847957019396,-326.5847957019396,0.0
n2-prefix-0055,n2,cpu,-108.9094778983647,-108.9094778983647,0.0
fe4s4-prefix-0055,,cpu,-326.5689554798624,-326.5689554798624,0.0
n2-prefix-0032,n2,cpu,-108.9053043618977,-108.9053043618977,0.0
fe4s4-prefix-0032,,cpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0244,,gpu,-326.6982536731581,-326.6982536731583,6.959745663982201e-16
fe4s4-prefix-0032,,cpu,-326.5622181729457,-326.5622181729457,0.0
n2-prefix-0055,n2,gpu,-108.9094778983647,-108.9094778983647,0.0
h2o-prefix-0174,h2o,cpu,-76.1847839202865,-76.1847839202865,0.0
h2o-prefix-0174,h2o,cpu,-76.1847839202865,-76.1847839202865,0.0
h2o-prefix-0055,h2o,gpu,-76.10793303539991,-76.10793303539987,5.601592691497278e-16
h2o-prefix-0055,h2o,gpu,-76.10793303539991,-76.10793303539987,5.601592691497278e-16
h2o-prefix-0100,h2o,gpu,-76.14467787856536,-76.14467787856537,1.86629651751437e-16
n2-prefix-0100,n2,cpu,-108.9407606093665,-108.9407606093665,0.0
fe4s4-prefix-0032,,cpu,-326.5622181729456,-326.5622181729457,1.7406612185217347e-16
fe4s4-prefix-0100,,cpu,-326.5847957019399,-326.5847957019396,1.044324529657896e-15
n2-prefix-0100,n2,cpu,-108.9407606093665,-108.9407606093665,0.0
fe4s4-prefix-0032,,cpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0244,,cpu,-326.6982536731583,-326.6982536731583,0.0
fe4s4-prefix-0244,,gpu,-326.6982536731581,-326.6982536731583,6.959745663982201e-16
n2-prefix-0239,n2,gpu,-109.0415109298453,-109.0415109298453,0.0
h2o-prefix-0100,h2o,cpu,-76.14467787856537,-76.14467787856537,0.0
fe4s4-prefix-0100,,cpu,-326.58479570194,-326.5847957019396,1.2183786179342119e-15
n2-prefix-0100,n2,gpu,-108.9407606093665,-108.9407606093665,0.0
h2o-prefix-0275,h2o,gpu,-76.23593762863834,-76.23593762863838,5.592187290104358e-16
fe4s4-prefix-0174,,gpu,-326.6593248445311,-326.6593248445312,3.480287537351754e-16
h2o-prefix-0032,h2o,cpu,-76.07312514830402,-76.07312514830402,0.0
n2-prefix-0055,n2,cpu,-108.9094778983647,-108.9094778983647,0.0
fe4s4-prefix-0174,,cpu,-326.6593248445312,-326.6593248445312,0.0
n2-prefix-0055,n2,cpu,-108.9094778983647,-108.9094778983647,0.0
n2-prefix-0032,n2,cpu,-108.9053043618977,-108.9053043618977,0.0
h2o-prefix-0032,h2o,cpu,-76.07312514830402,-76.07312514830402,0.0
fe4s4-prefix-0055,,cpu,-326.5689554798624,-326.5689554798624,0.0
fe4s4-prefix-0032,,gpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0055,,cpu,-326.5689554798623,-326.5689554798624,1.740625307671452e-16
n2-prefix-0100,n2,gpu,-108.9407606093665,-108.9407606093665,0.0
fe4s4-prefix-0100,,cpu,-326.58479570194,-326.5847957019396,1.2183786179342119e-15
h2o-prefix-0275,h2o,cpu,-76.23593762863838,-76.23593762863838,0.0
fe4s4-prefix-0174,,gpu,-326.6593248445311,-326.6593248445312,3.480287537351754e-16
n2-prefix-0100,n2,cpu,-108.9407606093665,-108.9407606093665,0.0
fe4s4-prefix-0174,,cpu,-326.6593248445312,-326.6593248445312,0.0
h2o-prefix-0275,h2o,gpu,-76.23593762863834,-76.23593762863838,5.592187290104358e-16
h2o-prefix-0055,h2o,gpu,-76.10793303539991,-76.10793303539987,5.601592691497278e-16
h2o-prefix-0055,h2o,gpu,-76.10793303539991,-76.10793303539987,5.601592691497278e-16
fe4s4-prefix-0244,,cpu,-326.6982536731583,-326.6982536731583,0.0
h2o-prefix-0032,h2o,cpu,-76.07312514830402,-76.07312514830402,0.0
n2-prefix-0239,n2,cpu,-109.0415109298453,-109.0415109298453,0.0
n2-prefix-0032,n2,cpu,-108.9053043618977,-108.9053043618977,0.0
n2-prefix-0174,n2,gpu,-109.0075349193047,-109.0075349193047,0.0
h2o-prefix-0032,h2o,gpu,-76.07312514830399,-76.07312514830402,3.736103831017339e-16
h2o-prefix-0055,h2o,gpu,-76.10793303539991,-76.10793303539987,5.601592691497278e-16
h2o-prefix-0100,h2o,cpu,-76.14467787856537,-76.14467787856537,0.0
fe4s4-prefix-0032,,gpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0032,,gpu,-326.5622181729457,-326.5622181729457,0.0
n2-prefix-0239,n2,gpu,-109.0415109298453,-109.0415109298453,0.0
n2-prefix-0239,n2,gpu,-109.0415109298453,-109.0415109298453,0.0
fe4s4-prefix-0174,,cpu,-326.6593248445312,-326.6593248445312,0.0
h2o-prefix-0032,h2o,gpu,-76.07312514830399,-76.07312514830402,3.736103831017339e-16
h2o-prefix-0055,h2o,cpu,-76.10793303539987,-76.10793303539987,0.0
n2-prefix-0055,n2,cpu,-108.9094778983647,-108.9094778983647,0.0
fe4s4-prefix-0174,,gpu,-326.6593248445311,-326.6593248445312,3.480287537351754e-16
n2-prefix-0055,n2,gpu,-108.9094778983647,-108.9094778983647,0.0
fe4s4-prefix-0032,,cpu,-326.5622181729457,-326.5622181729457,0.0
n2-prefix-0100,n2,cpu,-108.9407606093665,-108.9407606093665,0.0
fe4s4-prefix-0244,,gpu,-326.6982536731581,-326.6982536731583,6.959745663982201e-16
n2-prefix-0239,n2,cpu,-109.0415109298453,-109.0415109298453,0.0
h2o-prefix-0100,h2o,cpu,-76.14467787856537,-76.14467787856537,0.0
h2o-prefix-0100,h2o,gpu,-76.14467787856536,-76.14467787856537,1.86629651751437e-16
n2-prefix-0100,n2,cpu,-108.9407606093665,-108.9407606093665,0.0
n2-prefix-0032,n2,gpu,-108.9053043618978,-108.9053043618977,9.134172443598379e-16
n2-prefix-0055,n2,cpu,-108.9094778983647,-108.9094778983647,0.0
fe4s4-prefix-0100,,cpu,-326.5847957019396,-326.5847957019396,0.0
h2o-prefix-0055,h2o,cpu,-76.10793303539987,-76.10793303539987,0.0
fe4s4-prefix-0055,,gpu,-326.5689554798622,-326.5689554798624,5.221875923014356e-16
n2-prefix-0055,n2,cpu,-108.9094778983647,-108.9094778983647,0.0
n2-prefix-0100,n2,cpu,-108.9407606093665,-108.9407606093665,0.0
h2o-prefix-0055,h2o,gpu,-76.10793303539991,-76.10793303539987,5.601592691497278e-16
n2-prefix-0032,n2,gpu,-108.9053043618978,-108.9053043618977,9.134172443598379e-16
h2o-prefix-0174,h2o,gpu,-76.18478392028646,-76.1847839202865,5.595942122801479e-16
h2o-prefix-0275,h2o,cpu,-76.23593762863838,-76.23593762863838,0.0
h2o-prefix-0275,h2o,cpu,-76.23593762863838,-76.23593762863838,0.0
fe4s4-59536-configurations,,cpu,-326.6982536731583,-326.6982536731583,0.0
h2o-prefix-0055,h2o,cpu,-76.10793303539987,-76.10793303539987,0.0
h2o-prefix-0174,h2o,cpu,-76.1847839202865,-76.1847839202865,0.0
n2-prefix-0032,n2,gpu,-108.9053043618978,-108.9053043618977,9.134172443598379e-16
fe4s4-prefix-0100,,cpu,-326.5847957019399,-326.5847957019396,1.044324529657896e-15
fe4s4-prefix-0100,,cpu,-326.5847957019399,-326.5847957019396,1.044324529657896e-15
h2o-prefix-0055,h2o,cpu,-76.10793303539987,-76.10793303539987,0.0
fe4s4-prefix-0032,,gpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0174,,cpu,-326.6593248445312,-326.6593248445312,0.0
n2-prefix-0239,n2,cpu,-109.0415109298453,-109.0415109298453,0.0
h2o-prefix-0275,h2o,gpu,-76.23593762863834,-76.23593762863838,5.592187290104358e-16
h2o-prefix-0100,h2o,cpu,-76.14467787856537,-76.14467787856537,0.0
fe4s4-prefix-0032,,cpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0100,,cpu,-326.5847957019396,-326.5847957019396,0.0
fe4s4-prefix-0055,,gpu,-326.5689554798622,-326.5689554798624,5.221875923014356e-16
h2o-prefix-0055,h2o,cpu,-76.10793303539987,-76.10793303539987,0.0
h2o-prefix-0100,h2o,cpu,-76.14467787856537,-76.14467787856537,0.0
h2o-prefix-0100,h2o,gpu,-76.14467787856536,-76.14467787856537,1.86629651751437e-16
n2-prefix-0174,n2,cpu,-109.0075349193047,-109.0075349193047,0.0
fe4s4-prefix-0055,,cpu,-326.5689554798624,-326.5689554798624,0.0
n2-prefix-0174,n2,gpu,-109.0075349193047,-109.0075349193047,0.0
n2-prefix-0032,n2,gpu,-108.9053043618978,-108.9053043618977,9.134172443598379e-16
h2o-prefix-0055,h2o,gpu,-76.10793303539991,-76.10793303539987,5.601592691497278e-16
fe4s4-prefix-0174,,gpu,-326.6593248445311,-326.6593248445312,3.480287537351754e-16
fe4s4-prefix-0244,,gpu,-326.6982536731581,-326.6982536731583,6.959745663982201e-16
fe4s4-prefix-0055,,gpu,-326.5689554798622,-326.5689554798624,5.221875923014356e-16
fe4s4-prefix-0174,,cpu,-326.6593248445312,-326.6593248445312,0.0
fe4s4-prefix-0244,,cpu,-326.6982536731583,-326.6982536731583,0.0
n2-prefix-0100,n2,cpu,-108.9407606093665,-108.9407606093665,0.0
h2o-prefix-0275,h2o,gpu,-76.23593762863834,-76.23593762863838,5.592187290104358e-16
fe4s4-prefix-0032,,gpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0032,,gpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0032,,cpu,-326.5622181729456,-326.5622181729457,1.7406612185217347e-16
fe4s4-prefix-0244,,cpu,-326.6982536731583,-326.6982536731583,0.0
n2-prefix-0174,n2,cpu,-109.0075349193047,-109.0075349193047,0.0
h2o-prefix-0100,h2o,gpu,-76.14467787856536,-76.14467787856537,1.86629651751437e-16
fe4s4-prefix-0032,,cpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0032,,gpu,-326.5622181729457,-326.5622181729457,0.0
n2-prefix-0174,n2,cpu,-109.0075349193047,-109.0075349193047,0.0
n2-prefix-0239,n2,cpu,-109.0415109298453,-109.0415109298453,0.0
fe4s4-prefix-0244,,cpu,-326.6982536731583,-326.6982536731583,0.0
n2-prefix-0174,n2,gpu,-109.0075349193047,-109.0075349193047,0.0
n2-prefix-0239,n2,gpu,-109.0415109298453,-109.0415109298453,0.0
fe4s4-prefix-0244,,gpu,-326.6982536731581,-326.6982536731583,6.959745663982201e-16
fe4s4-prefix-0174,,cpu,-326.6593248445312,-326.6593248445312,0.0
fe4s4-prefix-0100,,gpu,-326.5847957019399,-326.5847957019396,1.044324529657896e-15
n2-prefix-0055,n2,cpu,-108.9094778983647,-108.9094778983647,0.0
fe4s4-prefix-0055,,cpu,-326.5689554798622,-326.5689554798624,5.221875923014356e-16
fe4s4-prefix-0032,,cpu,-326.5622181729457,-326.5622181729457,0.0
n2-prefix-0055,n2,gpu,-108.9094778983647,-108.9094778983647,0.0
fe4s4-prefix-0055,,gpu,-326.5689554798622,-326.5689554798624,5.221875923014356e-16
fe4s4-prefix-0055,,cpu,-326.5689554798623,-326.5689554798624,1.740625307671452e-16
fe4s4-prefix-0055,,cpu,-326.5689554798624,-326.5689554798624,0.0
n2-prefix-0055,n2,gpu,-108.9094778983647,-108.9094778983647,0.0
n2-prefix-0239,n2,cpu,-109.0415109298453,-109.0415109298453,0.0
h2o-prefix-0100,h2o,cpu,-76.14467787856537,-76.14467787856537,0.0
n2-prefix-0055,n2,gpu,-108.9094778983647,-108.9094778983647,0.0
h2o-prefix-0055,h2o,cpu,-76.10793303539987,-76.10793303539987,0.0
n2-prefix-0032,n2,gpu,-108.9053043618978,-108.9053043618977,9.134172443598379e-16
h2o-prefix-0055,h2o,cpu,-76.10793303539987,-76.10793303539987,0.0
fe4s4-prefix-0032,,gpu,-326.5622181729457,-326.5622181729457,0.0
fe4s4-prefix-0244,,gpu,-326.6982536731581,-326.6982536731583,6.959745663982201e-16
fe4s4-prefix-0100,,gpu,-326.5847957019399,-326.5847957019396,1.044324529657896e-15
fe4s4-prefix-0100,,cpu,-326.5847957019396,-326.5847957019396,0.0
h2o-prefix-0275,h2o,gpu,-76.23593762863834,-76.23593762863838,5.592187290104358e-16
n2-prefix-0174,n2,gpu,-109.0075349193047,-109.0075349193047,0.0
h2o-prefix-0032,h2o,gpu,-76.07312514830399,-76.07312514830402,3.736103831017339e-16
fe4s4-prefix-0174,,gpu,-326.6593248445311,-326.6593248445312,3.480287537351754e-16
h2o-prefix-0275,h2o,cpu,-76.23593762863838,-76.23593762863838,0.0
h2o-prefix-0174,h2o,gpu,-76.18478392028646,-76.1847839202865,5.595942122801479e-16
h2o-prefix-0100,h2o,cpu,-76.14467787856537,-76.14467787856537,0.0
